ds,dep_var,trend,season,weekday,holiday,boolean_value_3,boolean_value_5,boolean_value_6,boolean_value_7,boolean_value_8,boolean_value_10,boolean_value_12,boolean_value_13,boolean_value_14,boolean_value_16,boolean_value_18,boolean_value_19,covid.19.Infected.person_1,weather_Average.temperature..._1,weather_Total.precipitation.mm._1,weather_Daylight.hours..hours._1,Complementary.goods_1,Complementary.goods_2,Complementary.goods_3,Influencer_Post,price_16,Event,macroeconomic_indicators_1,macroeconomic_indicators_4,macroeconomic_indicators_13,macroeconomic_indicators_14,consecutive_holidays_1,consecutive_holidays_2,consecutive_holidays_3,consecutive_holidays_4,consecutive_holidays_5,consecutive_holidays_6,consecutive_holidays_7,consecutive_holidays_8,consecutive_holidays_9,consecutive_holidays_10,consecutive_holidays_11,consecutive_holidays_12,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_o36_similar_S,FB_anotherproduct_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,Google_youtube_S,Google_display_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,intercept,depVarHat,solID
2020/5/6,3,106.8725466,3.022622059,-0.24424701,11.65474918,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.0145697,6.886712824,0.605432568,0,2.24445973,1.55584645,-9.92502813,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,12.33129929,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,0,0,0,0,0,0,0,0,0,0,0,4.876573931,0,0,0,0,0,0,0,0,0,0,82.48113338,0.675735532,4_1114_7
2020/5/7,4,106.90653,2.83876476,-4.161504403,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.00905684,7.191820354,0.015932436,9.474954654,1.927933358,0.852011151,-4.764013502,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,6.247454825,0,0,0,0,0,0,0,0.015095127,0,0,82.48113338,7.073088488,4_1114_7
2020/5/8,0,106.9405134,2.647216422,-6.450660376,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.015357251,7.278993934,0,8.378678909,1.899158233,1.000187004,-3.573010127,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.126209651,0,0,0,0,0,0,0,0.010756388,0,0,82.48113338,5.792453578,4_1114_7
2020/5/9,3,106.9744968,2.45182451,3.495960392,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.014175924,7.976382574,0,2.662383952,1.611406986,1.000187004,-5.558015753,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.652924502,0,0,0,0,0,0,0,0.0608154,0,0,82.48113338,8.861595181,4_1114_7
2020/5/10,1,107.0084802,2.256419081,12.22774447,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.008663065,9.371159855,0.031864872,0.783054104,2.043033857,1.666978339,-5.161014627,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.881438687,0,0,0,0,0,0,0,0.039109042,0,0,82.48113338,18.67598383,4_1114_7
2020/5/11,0,107.0424636,2.064677096,-2.19206083,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.005906635,9.981374915,0.015932436,7.125792343,1.841607984,1.148362856,-5.558015753,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.771703969,0,0,0,0,0,0,0,0.021902879,0,0,82.48113338,9.788701021,4_1114_7
2020/5/12,0,107.076447,1.879995857,-2.675232238,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.010631943,9.458333435,0,3.680354287,1.899158233,1.518802487,-4.764013502,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.804693143,0,0,0,0,0,0,0,0.010932311,0,0,82.48113338,6.419155848,4_1114_7
2020/5/13,1,107.1104304,1.705379682,-0.24424701,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.003937757,9.719854175,0,8.69190055,1.668957235,1.444714561,-5.955016878,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,6.851454113,0,0,0,0,0,0,0,0.004928124,0,0,82.48113338,11.5213456,4_1114_7
2020/5/14,3,107.1444138,1.543343433,-4.161504403,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.01181327,9.066052325,0,9.788176295,1.381205988,1.148362856,-4.168511814,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.279525223,0,0,0,0,0,0,0,0.002024731,0,0,82.48113338,9.553954598,4_1114_7
2020/5/15,0,107.1783972,1.395835896,-6.450660376,0,0,11.51756438,0,0,0,21.1469573,0,0,0,-23.20773794,0,0,0.003543981,9.371159855,0,6.342738239,1.64018211,1.370626634,-3.374509564,0,-89.2200432,3.250235411,-43.49233592,-1332.982639,50.94268347,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,0,0,0,0,0,0,7.871825519,0,0,0,0,0,0,0,0.000763352,0,0,82.48113338,5.868955741,4_1114_7
