ds,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_o36_similar_S,FB_anotherproduct_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,Google_youtube_S,Google_display_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,type,solID
2020/5/6,0,0,0,0,0,0,0,0,0,0,11969,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/7,0,0,0,0,0,0,0,0,0,0,12808,0,0,0,0,0,0,0,33,0,0,rawMedia,4_1114_7
2020/5/8,0,0,0,0,0,0,0,0,0,0,14919,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/9,0,0,0,0,0,0,0,0,0,0,15939,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/5/10,0,0,0,0,0,0,0,0,0,0,15802,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/11,0,0,0,0,0,0,0,0,0,0,14030,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/12,0,0,0,0,0,0,0,0,0,0,14912,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/13,0,0,0,0,0,0,0,0,0,0,7501,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/14,0,0,0,0,0,0,0,0,0,0,14682,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/15,0,0,0,0,0,0,0,0,0,0,17431,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/16,0,0,0,0,0,0,0,20672,0,0,52030,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/17,0,0,0,0,0,0,0,5953,0,0,27359,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/5/18,0,0,0,0,0,0,0,0,0,0,17503,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/19,0,0,0,0,0,0,0,883,0,0,12827,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/20,0,0,0,0,0,0,0,3823,0,0,13720,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/21,0,0,0,0,0,0,0,2039,0,0,6457,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/22,0,0,0,0,0,0,0,4637,0,0,16258,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/23,0,0,0,0,0,0,0,4619,0,0,16297,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/5/24,0,0,0,0,0,0,0,4021,0,0,13812,0,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
2020/5/25,0,0,0,0,0,0,0,4020,0,0,13943,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/5/26,0,0,0,0,0,0,0,4009,0,0,14183,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/27,0,0,0,0,0,0,0,4028,0,0,13879,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/28,0,0,0,0,0,0,0,3922,0,0,13929,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/29,0,0,0,0,0,0,0,3884,0,0,13495,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/30,0,0,0,0,0,0,0,2306,0,0,8402,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/5/31,0,0,0,0,0,0,0,4010,0,0,18712,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/1,0,0,0,0,0,0,0,4002,0,0,18912,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/2,0,0,0,0,0,0,0,4006,0,0,18749,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/3,0,0,0,0,0,0,0,3912,0,0,19218,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/4,0,0,0,0,0,0,0,4030,0,0,18936,0,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
2020/6/5,0,0,0,0,0,0,0,4029,0,0,19257,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/6,0,0,0,0,0,0,0,4011,0,0,17776,0,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/6/7,0,0,0,0,0,0,0,4017,0,0,12017,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/8,0,0,0,0,0,0,0,542,0,0,954,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/10,0,0,0,0,0,0,0,4607,0,0,21825,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/11,0,0,0,0,0,0,0,4251,0,0,20509,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/12,0,0,0,0,0,0,0,9875,0,0,15135,0,0,0,0,0,0,0,78,0,0,rawMedia,4_1114_7
2020/6/13,0,0,0,0,0,0,0,18434,0,0,15573,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/14,0,0,0,0,0,0,0,16064,0,0,14036,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/15,0,0,0,0,0,0,0,5340,0,0,10692,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/16,0,0,0,0,0,0,0,0,0,0,18102,0,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/6/17,0,0,0,0,0,0,0,0,0,0,17642,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/18,0,0,0,0,0,0,0,0,0,0,17644,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/19,0,0,0,0,0,0,0,0,0,0,17458,0,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/6/20,0,0,0,0,0,0,0,0,0,0,15953,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/21,0,0,0,0,0,0,0,0,0,0,16411,0,0,0,0,0,0,0,78,0,0,rawMedia,4_1114_7
2020/6/22,0,0,0,0,0,0,0,0,0,0,15178,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/23,0,0,0,0,0,0,0,8837,0,0,14969,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/24,0,0,0,0,0,0,0,5626,0,0,22126,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/25,0,0,0,0,0,0,0,5782,0,0,25066,0,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/6/26,0,0,0,0,0,0,0,6269,0,0,27084,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/27,0,0,0,0,0,0,0,6652,0,0,24944,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/6/28,0,0,0,0,0,0,0,9013,0,0,25930,0,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/6/29,0,0,0,0,0,0,0,10777,0,0,21593,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/6/30,0,0,0,0,0,0,0,14922,0,0,24728,0,0,0,0,0,0,0,78,0,1,rawMedia,4_1114_7
2020/7/1,0,0,0,0,0,0,0,10568,0,0,30049,0,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/7/2,0,0,0,0,0,0,0,12291,0,0,28920,2005,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
2020/7/3,0,0,0,0,0,0,0,11070,0,7615,30392,1910,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
2020/7/4,0,0,0,0,0,0,0,10967,0,3345,29681,1896,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/5,0,0,0,0,0,0,0,11703,0,0,30721,2004,0,0,0,0,0,0,78,0,1,rawMedia,4_1114_7
2020/7/6,0,0,0,0,0,0,0,16468,0,0,15655,2003,0,0,0,0,0,0,78,0,0,rawMedia,4_1114_7
2020/7/7,0,0,0,0,0,0,0,28707,0,10398,12876,8037,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/8,0,0,0,0,0,0,0,21332,0,4881,30186,5787,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/7/9,0,0,0,0,0,0,0,18030,0,5727,19481,9076,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/10,0,0,0,0,0,0,0,14545,0,3106,13411,9580,0,0,0,0,0,0,39,0,0,rawMedia,4_1114_7
2020/7/11,0,0,0,0,0,0,0,17611,0,0,11169,11542,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/7/12,0,0,0,0,0,0,0,33805,0,122,8424,14769,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/13,0,0,0,0,0,0,0,32873,0,11556,8438,9077,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/14,0,0,0,0,0,0,0,57938,0,8792,13997,11943,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/15,0,0,0,0,0,0,0,10531,0,11472,27578,796,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/7/16,0,0,0,0,0,0,0,23949,0,6219,34448,6300,0,0,0,0,0,0,85,0,0,rawMedia,4_1114_7
2020/7/17,0,0,0,0,0,0,0,30923,0,3817,38313,10742,0,0,0,0,0,0,0,0,1,rawMedia,4_1114_7
2020/7/18,0,0,0,0,0,0,0,30747,0,7603,38511,2886,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
2020/7/19,0,0,0,0,0,0,0,32167,0,6110,38863,0,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/7/20,0,0,0,0,0,0,0,39706,0,5942,22123,6146,0,0,0,0,0,0,46,0,1,rawMedia,4_1114_7
2020/7/21,0,0,0,0,0,0,0,43745,0,8150,37693,21187,0,0,0,0,0,0,130,0,1,rawMedia,4_1114_7
2020/7/22,0,0,0,0,0,0,0,27878,0,8244,27720,23381,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/7/23,0,0,0,0,0,0,0,36377,0,7282,41671,27309,0,0,0,0,0,0,0,0,0,rawMedia,4_1114_7
2020/7/24,0,0,0,0,0,0,0,56532,0,5286,29034,22468,0,0,0,0,0,0,46,0,1,rawMedia,4_1114_7
2020/7/25,0,0,0,0,0,0,0,56307,0,5323,4080,15722,0,0,0,0,0,0,85,0,1,rawMedia,4_1114_7
2020/7/26,0,0,0,0,0,0,0,58652,0,8369,0,20729,0,0,0,0,0,0,39,0,1,rawMedia,4_1114_7
